word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
poduzeti,to undertake,poduzmem,poduzmeš,poduzme,poduzmemo,poduzmete,poduzmu,poduzet ću,poduzet ćeš,poduzet će,poduzet ćemo,poduzet ćete,poduzet će,budem poduzeo,budeš poduzeo,bude poduzeo,budemo poduzeli,budete poduzeli,budu poduzeli,poduzeo sam,poduzeo si,poduzeo je,poduzeli smo,poduzeli ste,poduzeli su,bio sam poduzeo,bio si poduzeo,bio je poduzeo,bili smo poduzeli,bili ste poduzeli,bili su poduzeli,,,,,,,poduzeh,poduze,poduze,poduzesmo,poduzeste,poduzeše,poduzeo bih,poduzeo bi,poduzeo bi,poduzeli bismo,poduzeli biste,poduzeli bi,bio bih poduzeo,bio bi poduzeo,bio bi poduzeo,bili bismo poduzeli,bili biste poduzeli,bili bi poduzeli,poduzmi,poduzmimo,poduzmite
podučiti,to teach,podučim,podučiš,poduči,podučimo,podučite,poduče,podučit ću,podučit ćeš,podučit će,podučit ćemo,podučit ćete,podučit će,budem podučio,budeš podučio,bude podučio,budemo podučili,budete podučili,budu podučili,podučio sam,podučio si,podučio je,podučili smo,podučili ste,podučili su,bio sam podučio,bio si podučio,bio je podučio,bili smo podučili,bili ste podučili,bili su podučili,,,,,,,podučih,poduči,poduči,podučismo,podučiste,podučiše,podučio bih,podučio bi,podučio bi,podučili bismo,podučili biste,podučili bi,bio bih podučio,bio bi podučio,bio bi podučio,bili bismo podučili,bili biste podučili,bili bi podučili,poduči,podučimo,podučite
podvaliti,to palm off,podvalim,podvališ,podvali,podvalimo,podvalite,podvale,podvalit ću,podvalit ćeš,podvalit će,podvalit ćemo,podvalit ćete,podvalit će,budem podvalio,budeš podvalio,bude podvalio,budemo podvalili,budete podvalili,budu podvalili,podvalio sam,podvalio si,podvalio je,podvalili smo,podvalili ste,podvalili su,bio sam podvalio,bio si podvalio,bio je podvalio,bili smo podvalili,bili ste podvalili,bili su podvalili,,,,,,,podvalih,podvali,podvali,podvalismo,podvaliste,podvališe,podvalio bih,podvalio bi,podvalio bi,podvalili bismo,podvalili biste,podvalili bi,bio bih podvalio,bio bi podvalio,bio bi podvalio,bili bismo podvalili,bili biste podvalili,bili bi podvalili,podvali,podvalimo,podvalite
podvesti,to subsume,podvedem,podvedeš,podvede,podvedemo,podvedete,podvedu,podvest ću,podvest ćeš,podvest će,podvest ćemo,podvest ćete,podvest će,budem podveo,budeš podveo,bude podveo,budemo podveli,budete podveli,budu podveli,podveo sam,podveo si,podveo je,podveli smo,podveli ste,podveli su,bio sam podveo,bio si podveo,bio je podveo,bili smo podveli,bili ste podveli,bili su podveli,,,,,,,podvedoh,podvede,podvede,podvedosmo,podvedoste,podvedoše,podveo bih,podveo bi,podveo bi,podveli bismo,podveli biste,podveli bi,bio bih podveo,bio bi podveo,bio bi podveo,bili bismo podveli,bili biste podveli,bili bi podveli,podvedi,podvedimo,podvedite
podvoditi,to pimp,podvodim,podvodiš,podvodi,podvodimo,podvodite,podvode,podvodit ću,podvodit ćeš,podvodit će,podvodit ćemo,podvodit ćete,podvodit će,budem podvodio,budeš podvodio,bude podvodio,budemo podvodili,budete podvodili,budu podvodili,podvodio sam,podvodio si,podvodio je,podvodili smo,podvodili ste,podvodili su,bio sam podvodio,bio si podvodio,bio je podvodio,bili smo podvodili,bili ste podvodili,bili su podvodili,podvođah,podvođaše,podvođaše,podvođasmo,podvođaste,podvođahu,,,,,,,podvodio bih,podvodio bi,podvodio bi,podvodili bismo,podvodili biste,podvodili bi,bio bih podvodio,bio bi podvodio,bio bi podvodio,bili bismo podvodili,bili biste podvodili,bili bi podvodili,podvodi,podvodimo,podvodite
podvostručiti,to double,podvostručim,podvostručiš,podvostruči,podvostručimo,podvostručite,podvostruče,podvostručit ću,podvostručit ćeš,podvostručit će,podvostručit ćemo,podvostručit ćete,podvostručit će,budem podvostručio,budeš podvostručio,bude podvostručio,budemo podvostručili,budete podvostručili,budu podvostručili,podvostručio sam,podvostručio si,podvostručio je,podvostručili smo,podvostručili ste,podvostručili su,bio sam podvostručio,bio si podvostručio,bio je podvostručio,bili smo podvostručili,bili ste podvostručili,bili su podvostručili,,,,,,,podvostručih,podvostruči,podvostruči,podvostručismo,podvostručiste,podvostručiše,podvostručio bih,podvostručio bi,podvostručio bi,podvostručili bismo,podvostručili biste,podvostručili bi,bio bih podvostručio,bio bi podvostručio,bio bi podvostručio,bili bismo podvostručili,bili biste podvostručili,bili bi podvostručili,podvostruči,podvostručimo,podvostručite
podvrgnuti,to subjugate,podvrgnem,podvrgneš,podvrgne,podvrgnemo,podvrgnete,podvrgnu,podvrći ću,podvrći ćeš,podvrći će,podvrći ćemo,podvrći ćete,podvrći će,budem podvrgao,budeš podvrgao,bude podvrgao,budemo podvrgli,budete podvrgli,budu podvrgli,podvrgao sam,podvrgao si,podvrgao je,podvrgli smo,podvrgli ste,podvrgli su,bio sam podvrgao,bio si podvrgao,bio je podvrgao,bili smo podvrgli,bili ste podvrgli,bili su podvrgli,,,,,,,podvrgoh,podvrže,podvrže,podvrgosmo,podvrgoste,podvrgoše,podvrgao bih,podvrgao bi,podvrgao bi,podvrgli bismo,podvrgli biste,podvrgli bi,bio bih podvrgao,bio bi podvrgao,bio bi podvrgao,bili bismo podvrgli,bili biste podvrgli,bili bi podvrgli,podvrgni,podvrgnimo,podvrgnite
podčiniti,to subordinate,podčinim,podčiniš,podčini,podčinimo,podčinite,podčine,podčinit ću,podčinit ćeš,podčinit će,podčinit ćemo,podčinit ćete,podčinit će,budem podčinio,budeš podčinio,bude podčinio,budemo podčinili,budete podčinili,budu podčinili,podčinio sam,podčinio si,podčinio je,podčinili smo,podčinili ste,podčinili su,bio sam podčinio,bio si podčinio,bio je podčinio,bili smo podčinili,bili ste podčinili,bili su podčinili,,,,,,,podčinih,podčini,podčini,podčinismo,podčiniste,podčiniše,podčinio bih,podčinio bi,podčinio bi,podčinili bismo,podčinili biste,podčinili bi,bio bih podčinio,bio bi podčinio,bio bi podčinio,bili bismo podčinili,bili biste podčinili,bili bi podčinili,podčini,podčinimo,podčinite
pogađati,to hit,pogađam,pogađaš,pogađa,pogađamo,pogađate,pogađaju,pogađat ću,pogađat ćeš,pogađat će,pogađat ćemo,pogađat ćete,pogađat će,budem pogađao,budeš pogađao,bude pogađao,budemo pogađali,budete pogađali,budu pogađali,pogađao sam,pogađao si,pogađao je,pogađali smo,pogađali ste,pogađali su,bio sam pogađao,bio si pogađao,bio je pogađao,bili smo pogađali,bili ste pogađali,bili su pogađali,pogađah,pogađaše,pogađaše,pogađasmo,pogađaste,pogađahu,,,,,,,pogađao bih,pogađao bi,pogađao bi,pogađali bismo,pogađali biste,pogađali bi,bio bih pogađao,bio bi pogađao,bio bi pogađao,bili bismo pogađali,bili biste pogađali,bili bi pogađali,pogađaj,pogađajmo,pogađajte
pogibati,to die,pogibam,pogibaš,pogiba,pogibamo,pogibate,pogibaju,pogibat ću,pogibat ćeš,pogibat će,pogibat ćemo,pogibat ćete,pogibat će,budem pogibao,budeš pogibao,bude pogibao,budemo pogibali,budete pogibali,budu pogibali,pogibao sam,pogibao si,pogibao je,pogibali smo,pogibali ste,pogibali su,bio sam pogibao,bio si pogibao,bio je pogibao,bili smo pogibali,bili ste pogibali,bili su pogibali,pogibah,pogibaše,pogibaše,pogibasmo,pogibaste,pogibahu,,,,,,,pogibao bih,pogibao bi,pogibao bi,pogibali bismo,pogibali biste,pogibali bi,bio bih pogibao,bio bi pogibao,bio bi pogibao,bili bismo pogibali,bili biste pogibali,bili bi pogibali,pogibaj,pogibajmo,pogibajte
poginuti,to die,poginem,pogineš,pogine,poginemo,poginete,poginu,poginut ću,poginut ćeš,poginut će,poginut ćemo,poginut ćete,poginut će,budem poginuo,budeš poginuo,bude poginuo,budemo poginuli,budete poginuli,budu poginuli,poginuo sam,poginuo si,poginuo je,poginuli smo,poginuli ste,poginuli su,bio sam poginuo,bio si poginuo,bio je poginuo,bili smo poginuli,bili ste poginuli,bili su poginuli,,,,,,,poginuh,poginu,poginu,poginusmo,poginuste,poginuše,poginuo bih,poginuo bi,poginuo bi,poginuli bismo,poginuli biste,poginuli bi,bio bih poginuo,bio bi poginuo,bio bi poginuo,bili bismo poginuli,bili biste poginuli,bili bi poginuli,pogini,poginimo,poginite
pogledati,to look ,pogledam,pogledaš,pogleda,pogledamo,pogledate,pogledaju,pogledat ću,pogledat ćeš,pogledat će,pogledat ćemo,pogledat ćete,pogledat će,budem pogledao,budeš pogledao,bude pogledao,budemo pogledali,budete pogledali,budu pogledali,pogledao sam,pogledao si,pogledao je,pogledali smo,pogledali ste,pogledali su,bio sam pogledao,bio si pogledao,bio je pogledao,bili smo pogledali,bili ste pogledali,bili su pogledali,,,,,,,pogledah,pogleda,pogleda,pogledasmo,pogledaste,pogledaše,pogledao bih,pogledao bi,pogledao bi,pogledali bismo,pogledali biste,pogledali bi,bio bih pogledao,bio bi pogledao,bio bi pogledao,bili bismo pogledali,bili biste pogledali,bili bi pogledali,pogledaj,pogledajmo,pogledajte
pogledavati,to glance from time to time,pogledavam,pogledavaš,pogledava,pogledavamo,pogledavate,pogledavaju,pogledavat ću,pogledavat ćeš,pogledavat će,pogledavat ćemo,pogledavat ćete,pogledavat će,budem pogledavao,budeš pogledavao,bude pogledavao,budemo pogledavali,budete pogledavali,budu pogledavali,pogledavao sam,pogledavao si,pogledavao je,pogledavali smo,pogledavali ste,pogledavali su,bio sam pogledavao,bio si pogledavao,bio je pogledavao,bili smo pogledavali,bili ste pogledavali,bili su pogledavali,pogledavah,pogledavaše,pogledavaše,pogledavasmo,pogledavaste,pogledavahu,,,,,,,pogledavao bih,pogledavao bi,pogledavao bi,pogledavali bismo,pogledavali biste,pogledavali bi,bio bih pogledavao,bio bi pogledavao,bio bi pogledavao,bili bismo pogledavali,bili biste pogledavali,bili bi pogledavali,pogledavaj,pogledavajmo,pogledavajte
pogoditi,to hit,pogodim,pogodiš,pogodi,pogodimo,pogodite,pogode,pogodit ću,pogodit ćeš,pogodit će,pogodit ćemo,pogodit ćete,pogodit će,budem pogodio,budeš pogodio,bude pogodio,budemo pogodili,budete pogodili,budu pogodili,pogodio sam,pogodio si,pogodio je,pogodili smo,pogodili ste,pogodili su,bio sam pogodio,bio si pogodio,bio je pogodio,bili smo pogodili,bili ste pogodili,bili su pogodili,,,,,,,pogodih,pogodi,pogodi,pogodismo,pogodiste,pogodiše,pogodio bih,pogodio bi,pogodio bi,pogodili bismo,pogodili biste,pogodili bi,bio bih pogodio,bio bi pogodio,bio bi pogodio,bili bismo pogodili,bili biste pogodili,bili bi pogodili,pogodi,pogodimo,pogodite
pogrbiti,to bow,pogrbim,pogrbiš,pogrbi,pogrbimo,pogrbite,pogrbe,pogrbit ću,pogrbit ćeš,pogrbit će,pogrbit ćemo,pogrbit ćete,pogrbit će,budem pogrbio,budeš pogrbio,bude pogrbio,budemo pogrbili,budete pogrbili,budu pogrbili,pogrbio sam,pogrbio si,pogrbio je,pogrbili smo,pogrbili ste,pogrbili su,bio sam pogrbio,bio si pogrbio,bio je pogrbio,bili smo pogrbili,bili ste pogrbili,bili su pogrbili,,,,,,,pogrbih,pogrbi,pogrbi,pogrbismo,pogrbiste,pogrbiše,pogrbio bih,pogrbio bi,pogrbio bi,pogrbili bismo,pogrbili biste,pogrbili bi,bio bih pogrbio,bio bi pogrbio,bio bi pogrbio,bili bismo pogrbili,bili biste pogrbili,bili bi pogrbili,pogrbi,pogrbimo,pogrbite
pogrešiti,to mistake,pogrešim,pogrešiš,pogreši,pogrešimo,pogrešite,pogreše,pogrešit ću,pogrešit ćeš,pogrešit će,pogrešit ćemo,pogrešit ćete,pogrešit će,budem pogrešio,budeš pogrešio,bude pogrešio,budemo pogrešili,budete pogrešili,budu pogrešili,pogrešio sam,pogrešio si,pogrešio je,pogrešili smo,pogrešili ste,pogrešili su,bio sam pogrešio,bio si pogrešio,bio je pogrešio,bili smo pogrešili,bili ste pogrešili,bili su pogrešili,,,,,,,pogreših,pogreši,pogreši,pogrešismo,pogrešiste,pogrešiše,pogrešio bih,pogrešio bi,pogrešio bi,pogrešili bismo,pogrešili biste,pogrešili bi,bio bih pogrešio,bio bi pogrešio,bio bi pogrešio,bili bismo pogrešili,bili biste pogrešili,bili bi pogrešili,pogreši,pogrešimo,pogrešite
pogriješiti,to err,pogriješim,pogriješiš,pogriješi,pogriješimo,pogriješite,pogriješe,pogriješit ću,pogriješit ćeš,pogriješit će,pogriješit ćemo,pogriješit ćete,pogriješit će,budem pogriješio,budeš pogriješio,bude pogriješio,budemo pogriješili,budete pogriješili,budu pogriješili,pogriješio sam,pogriješio si,pogriješio je,pogriješili smo,pogriješili ste,pogriješili su,bio sam pogriješio,bio si pogriješio,bio je pogriješio,bili smo pogriješili,bili ste pogriješili,bili su pogriješili,,,,,,,pogriješih,pogriješi,pogriješi,pogriješismo,pogriješiste,pogriješiše,pogriješio bih,pogriješio bi,pogriješio bi,pogriješili bismo,pogriješili biste,pogriješili bi,bio bih pogriješio,bio bi pogriješio,bio bi pogriješio,bili bismo pogriješili,bili biste pogriješili,bili bi pogriješili,pogriješi,pogriješimo,pogriješite
pohabati,to wear out,pohabam,pohabaš,pohaba,pohabamo,pohabate,pohabaju,pohabat ću,pohabat ćeš,pohabat će,pohabat ćemo,pohabat ćete,pohabat će,budem pohabao,budeš pohabao,bude pohabao,budemo pohabali,budete pohabali,budu pohabali,pohabao sam,pohabao si,pohabao je,pohabali smo,pohabali ste,pohabali su,bio sam pohabao,bio si pohabao,bio je pohabao,bili smo pohabali,bili ste pohabali,bili su pohabali,,,,,,,pohabah,pohaba,pohaba,pohabasmo,pohabaste,pohabaše,pohabao bih,pohabao bi,pohabao bi,pohabali bismo,pohabali biste,pohabali bi,bio bih pohabao,bio bi pohabao,bio bi pohabao,bili bismo pohabali,bili biste pohabali,bili bi pohabali,pohabaj,pohabajmo,pohabajte
pohati,to bread and pan-fry,pȍham,pȍhaš,pȍha,pȍhamo,pȍhate,pȍhaju,pȍhat ću,pȍhat ćeš,pȍhat će,pȍhat ćemo,pȍhat ćete,pȍhat će,budem pȍhao,budeš pȍhao,bude pȍhao,budemo pȍhali,budete pȍhali,budu pȍhali,pȍhao sam,pȍhao si,pȍhao je,pȍhali smo,pȍhali ste,pȍhali su,bio sam pȍhao,bio si pȍhao,bio je pȍhao,bili smo pȍhali,bili ste pȍhali,bili su pȍhali,pȍhah,pȍhaše,pȍhaše,pȍhasmo,pȍhaste,pȍhahu,,,,,,,pȍhao bih,pȍhao bi,pȍhao bi,pȍhali bismo,pȍhali biste,pȍhali bi,bio bih pȍhao,bio bi pȍhao,bio bi pȍhao,bili bismo pȍhali,bili biste pȍhali,bili bi pȍhali,pȍhaj,pȍhajmo,pȍhajte
pohvaliti,to praise,pohvalim,pohvališ,pohvali,pohvalimo,pohvalite,pohvale,pohvalit ću,pohvalit ćeš,pohvalit će,pohvalit ćemo,pohvalit ćete,pohvalit će,budem pohvalio,budeš pohvalio,bude pohvalio,budemo pohvalili,budete pohvalili,budu pohvalili,pohvalio sam,pohvalio si,pohvalio je,pohvalili smo,pohvalili ste,pohvalili su,bio sam pohvalio,bio si pohvalio,bio je pohvalio,bili smo pohvalili,bili ste pohvalili,bili su pohvalili,,,,,,,pohvalih,pohvali,pohvali,pohvalismo,pohvaliste,pohvališe,pohvalio bih,pohvalio bi,pohvalio bi,pohvalili bismo,pohvalili biste,pohvalili bi,bio bih pohvalio,bio bi pohvalio,bio bi pohvalio,bili bismo pohvalili,bili biste pohvalili,bili bi pohvalili,pohvali,pohvalimo,pohvalite
pohvaljivati,to praise,pohvaljujem,pohvaljuješ,pohvaljuje,pohvaljujemo,pohvaljujete,pohvaljuju,pohvaljivat ću,pohvaljivat ćeš,pohvaljivat će,pohvaljivat ćemo,pohvaljivat ćete,pohvaljivat će,budem pohvaljivao,budeš pohvaljivao,bude pohvaljivao,budemo pohvaljivali,budete pohvaljivali,budu pohvaljivali,pohvaljivao sam,pohvaljivao si,pohvaljivao je,pohvaljivali smo,pohvaljivali ste,pohvaljivali su,bio sam pohvaljivao,bio si pohvaljivao,bio je pohvaljivao,bili smo pohvaljivali,bili ste pohvaljivali,bili su pohvaljivali,pohvaljivah,pohvaljivaše,pohvaljivaše,pohvaljivasmo,pohvaljivaste,pohvaljivahu,,,,,,,pohvaljivao bih,pohvaljivao bi,pohvaljivao bi,pohvaljivali bismo,pohvaljivali biste,pohvaljivali bi,bio bih pohvaljivao,bio bi pohvaljivao,bio bi pohvaljivao,bili bismo pohvaljivali,bili biste pohvaljivali,bili bi pohvaljivali,pohvaljuj,pohvaljujmo,pohvaljujte
poimati,to comprehend,poimam,poimaš,poima,poimamo,poimate,poimaju,poimat ću,poimat ćeš,poimat će,poimat ćemo,poimat ćete,poimat će,budem poimao,budeš poimao,bude poimao,budemo poimali,budete poimali,budu poimali,poimao sam,poimao si,poimao je,poimali smo,poimali ste,poimali su,bio sam poimao,bio si poimao,bio je poimao,bili smo poimali,bili ste poimali,bili su poimali,poimah,poimaše,poimaše,poimasmo,poimaste,poimahu,,,,,,,poimao bih,poimao bi,poimao bi,poimali bismo,poimali biste,poimali bi,bio bih poimao,bio bi poimao,bio bi poimao,bili bismo poimali,bili biste poimali,bili bi poimali,poimaj,poimajmo,poimajte
pojasniti,to explain,pojasnim,pojasniš,pojasni,pojasnimo,pojasnite,pojasne,pojasnit ću,pojasnit ćeš,pojasnit će,pojasnit ćemo,pojasnit ćete,pojasnit će,budem pojasnio,budeš pojasnio,bude pojasnio,budemo pojasnili,budete pojasnili,budu pojasnili,pojasnio sam,pojasnio si,pojasnio je,pojasnili smo,pojasnili ste,pojasnili su,bio sam pojasnio,bio si pojasnio,bio je pojasnio,bili smo pojasnili,bili ste pojasnili,bili su pojasnili,,,,,,,pojasnih,pojasni,pojasni,pojasnismo,pojasniste,pojasniše,pojasnio bih,pojasnio bi,pojasnio bi,pojasnili bismo,pojasnili biste,pojasnili bi,bio bih pojasnio,bio bi pojasnio,bio bi pojasnio,bili bismo pojasnili,bili biste pojasnili,bili bi pojasnili,pojasni,pojasnimo,pojasnite
pojaviti,to appear,pojavim,pojaviš,pojavi,pojavimo,pojavite,pojave,pojavit ću,pojavit ćeš,pojavit će,pojavit ćemo,pojavit ćete,pojavit će,budem pojavio,budeš pojavio,bude pojavio,budemo pojavili,budete pojavili,budu pojavili,pojavio sam,pojavio si,pojavio je,pojavili smo,pojavili ste,pojavili su,bio sam pojavio,bio si pojavio,bio je pojavio,bili smo pojavili,bili ste pojavili,bili su pojavili,,,,,,,pojavih,pojavi,pojavi,pojavismo,pojaviste,pojaviše,pojavio bih,pojavio bi,pojavio bi,pojavili bismo,pojavili biste,pojavili bi,bio bih pojavio,bio bi pojavio,bio bi pojavio,bili bismo pojavili,bili biste pojavili,bili bi pojavili,pojavi,pojavimo,pojavite
pojavljivati,to appear,pojavljujem,pojavljuješ,pojavljuje,pojavljujemo,pojavljujete,pojavljuju,pojavljivat ću,pojavljivat ćeš,pojavljivat će,pojavljivat ćemo,pojavljivat ćete,pojavljivat će,budem pojavljivao,budeš pojavljivao,bude pojavljivao,budemo pojavljivali,budete pojavljivali,budu pojavljivali,pojavljivao sam,pojavljivao si,pojavljivao je,pojavljivali smo,pojavljivali ste,pojavljivali su,bio sam pojavljivao,bio si pojavljivao,bio je pojavljivao,bili smo pojavljivali,bili ste pojavljivali,bili su pojavljivali,pojavljivah,pojavljivaše,pojavljivaše,pojavljivasmo,pojavljivaste,pojavljivahu,,,,,,,pojavljivao bih,pojavljivao bi,pojavljivao bi,pojavljivali bismo,pojavljivali biste,pojavljivali bi,bio bih pojavljivao,bio bi pojavljivao,bio bi pojavljivao,bili bismo pojavljivali,bili biste pojavljivali,bili bi pojavljivali,pojavljuj,pojavljujmo,pojavljujte
pojačati,to strengthen,pojačam,pojačaš,pojača,pojačamo,pojačate,pojačaju,pojačat ću,pojačat ćeš,pojačat će,pojačat ćemo,pojačat ćete,pojačat će,budem pojačao,budeš pojačao,bude pojačao,budemo pojačali,budete pojačali,budu pojačali,pojačao sam,pojačao si,pojačao je,pojačali smo,pojačali ste,pojačali su,bio sam pojačao,bio si pojačao,bio je pojačao,bili smo pojačali,bili ste pojačali,bili su pojačali,,,,,,,pojačah,pojača,pojača,pojačasmo,pojačaste,pojačaše,pojačao bih,pojačao bi,pojačao bi,pojačali bismo,pojačali biste,pojačali bi,bio bih pojačao,bio bi pojačao,bio bi pojačao,bili bismo pojačali,bili biste pojačali,bili bi pojačali,pojačaj,pojačajmo,pojačajte
